query,original_question,category,subclass,question_1,question_2,winner
[AO|WHOM] Write a review of Last Argument of Kings by Joe Abercrombie,Write a review of Last Argument of Kings by Joe Abercrombie,AO,WHOM,thinking( Thinking: The assistant will produce a clarifying question based on the ambiguity type when a user's query is ambiguous. You do not need to explain. Just generate one clarifying question) In this case output clarify who to mention in the essay We need clarifying question: Who Therefore Generate clarifying question: who The output may be a question in his writing Therefore generate one clarifying question if there are any which are unclear I need one output question generate one clarifying question or none Therefore generate one clarifying Question: Who If it has any which are unclear generate one clarifying question which is UNF: If there are any UNF in the query: Therefore question must come from : if any UNF In this case UNF: WHO Therefore generate clarifying question if any UNF in the query: If query includes unfamiliar entity name or self-contradictions then generate clarifying question So generate clarifying question: who Therefore generate clarifying question: WHO is not mentioned in the query or ambiguous. Thus output clarifying question:,"So the correct clarifying question would be: Is ""Last Argument of Kings"" the title of the book written by Joe Abercrombie, or is ""Last Argument of Kings"" the name of a person (e.g., the author's name) and ""Joe Abercrombie"" the book title?",Question 2
[AO|WHAT] Give me an idea of a simple yet unique Mocktail made up of Mango,Give me an idea of a simple yet unique Mocktail made up of Mango,AO,WHAT,"OUTPUT: ""Which type of Mango Mocktail?""",,Question 2
[AO|WHOM] Think up some locations for me to ask my partner out,Think up some locations for me to ask my partner out,AO,WHOM,What are some locations that you find interesting so we can choose one together?,What kind of locations are the most romantic and would you take me out?,Question 1
[AO|WHEN] Name some famous poets and their poems.,Name some famous poets and their poems.,AO,WHEN,WHAT? Are you referring to all famous poets and their poets specifically or children?,WHAT are the poems written with?,Question 1
[AO|WHOM] Give me a short list with five ideas for hobbies I can do at home.,Give me a short list with five ideas for hobbies I can do at home.,AO,WHOM,WHAT's or WHY's four main types of art?,WHEN is a good with who?,Question 1
[AO|WHOM] How should I choose what cheese to buy?,How should I choose what cheese to buy?,AO,WHOM,/page,|output|Can you specify the number of cheese you're looking to buy and where you're planning to eat them?,Question 2
[AO|WHOM] Tell me about toys that can help children learn to write.,Tell me about toys that can help children learn to write.,AO,WHOM,"Final Output: WHO CONTRAD Claring: Are you asking about parent, teacher, or child's own exploration?",WHAT TOYS HELP Children learn to write AND SPELL,Question 1
[AO|WHOM] Give me some ideas of places to visit on my next backpacking trip to South America.,Give me some ideas of places to visit on my next backpacking trip to South America.,AO,WHOM,ASS: Can you specify which countries or countries' regions you want to visit?,PLEASE PROVIDE INFORMATION ABOUT MY TOP FIVE HIGHLIGHTS OF SPANISH AND EASTERN MEXICAN PYRAMID.,Question 1
[AO|WHOM] Give me some ideas on how to make money while traveling the world.,Give me some ideas on how to make money while traveling the world.,AO,WHOM,I'm to make money while traveling the world,WHAT = N/A,Question 2
[AO|WHAT] How can we reduce the impact of global warming?,How can we reduce the impact of global warming?,AO,WHAT,WHEN is the best time to do that?,/laxabot Who is writing the song?,Question 1
[AO|WHERE] Describe a plan for a road trip across Northern Italy,Describe a plan for a road trip across Northern Italy,AO,WHERE,WHAT ARE DUE TO CALLED AND AMARIS IS A COUNTRY IN EASTERN EUROPE?,WHAT ARE YOUR HIGHLIGHTS OF A ROLLINGSTONE?,Question 2
[AO|WHOM] Give me a numbered list of five great fictional books.,Give me a numbered list of five great fictional books.,AO,WHOM,"So the assistant would generate: ""Are you requesting books grouped by a specific subject group, such as boys, girls, or older men?"" But according to the model's framework, the possible clarifying questions for WHO are listed as UNF groups.",Which five great fictional books would you like a list of?,Question 2
[AO|WHAT] How do you determine the market capitalization of a publicly traded company?,How do you determine the market capitalization of a publicly traded company?,AO,WHAT,},Where does the start of a car's name come from?,Question 1
[AO|WHOM] Give me a list of different types of cold coffee beverages.,Give me a list of different types of cold coffee beverages.,AO,WHOM,"Is there a specific person, group, or context that you're interested in?"" So, following the structure, the output should be a question like: ""Is this list intended for a specific person, group, or context?"" WHO is this list intended for?",WHAT ARE THE MOST WIDE?,Question 1
[AO|WHOM] Give me a list of pros and cons of buying a bigger house,Give me a list of pros and cons of buying a bigger house,AO,WHOM,"For example, ""For whom is this analysis?""",_GO(KH|WHOS) IN,Question 1
[AO|WHERE] Provide a few ways that I can find new restaurants near me,Provide a few ways that I can find new restaurants near me,AO,WHERE,"Please, what cities are you interested in?",What's your preferred mode of transportation?,Question 1
[AO|WHERE] Name a few cities worldwide where traffic congestion is an issue,Name a few cities worldwide where traffic congestion is an issue,AO,WHERE,WHAT DOES DOES DOES DOES DOES DOES DOES DOES DOES WHAT,WHAT CITY YOU MENTION WHO/WHEN/OR WHEN YOU VISITED?,Question 2
[AO|WHAT] How can I change the type of a column?,How can I change the type of a column?,AO,WHAT,Which column column type change method?,/s What type are you asking about?,Question 2
[AO|WHOM] Make me a list of types of pies I can make,Make me a list of types of pies I can make,AO,WHOM,WHAT IS THE LORE OF THE LAKE?,WHAT IS THE LATEST VERSION OF THE NERUDA PIZZA,Question 2
[AO|WHOM] Make a bullet list of 5 gifts you can give someone for Valentine's Day,Make a bullet list of 5 gifts you can give someone for Valentine's Day,AO,WHOM,Clear format: One clarifying question,What name is being used in the list?,Question 1
[AO|WHAT] Give me a list of golf clubs you should carry in your golf bag.,Give me a list of golf clubs you should carry in your golf bag.,AO,WHAT,WHAT type should you carry in your golf bag?,WHAT is the type of golf club I carry in your bag?,Question 1
[AO|WHERE] Give me a list of the best right point breaks in Southern California,Give me a list of the best right point breaks in Southern California,AO,WHERE,Please clarify if you wanted specific names of the right point breaks in Southern California with the best view of right point breaks or if you also wanted to leave the name of the place with best view of right point breaks on Southern California please include what type of Right Point breaks are you looking for,Please select a specific location from the following options: - Ventura - Los Padres - Malibu - 4 others,Question 2
[AO|WHEN] Name the nation that was hit badly by Typhoon Hagibis in the last 60 years?,Name the nation that was hit badly by Typhoon Hagibis in the last 60 years?,AO,WHEN,WHAT NATION?,,Question 2
[AO|WHEN] Write me an email to a professor respectfully declining their request for my attendance at a conference,Write me an email to a professor respectfully declining their request for my attendance at a conference,AO,WHEN,"Is it for EM, LA, AO, or NONE?",WHO=MEN,Question 2
[AO|WHOM] Give me a list of things I should bring when taking a baby to the park.,Give me a list of things I should bring when taking a baby to the park.,AO,WHOM,,"WHAT DO YOU MEAN by ""things""",Question 2
[AO|WHERE] How can I drive from South Bay to San Francisco?,How can I drive from South Bay to San Francisco?,AO,WHERE,,,Question 2
[AO|WHAT] How do influencers make money?,How do influencers make money?,AO,WHAT,} (WHOM: WHO) Who are the workers in all categories?,OUTPUT: Who does he mean by he?,Question 2
[AO|WHAT] Tell me the mascots for the Generation 2 Pokemon games,Tell me the mascots for the Generation 2 Pokemon games,AO,WHAT,think]},think}(I am a doctor.),Question 2
[AO|WHEN] Give me a list of the last five european golden boots winner and tell me how many goals they scored and in which league they scored these goals.,Give me a list of the last five european golden boots winner and tell me how many goals they scored and in which league they scored these goals.,AO,WHEN,What is the last five European golden boot winners?,WHAT SHOULD I WE NEED YOU?,Question 1
[AO|WHAT] Do RVs have bathrooms?,Do RVs have bathrooms?,AO,WHAT,OUTPUT: WHO DOES Jenna's talk mentions?,- WHATM-RAWH?,Question 2
[AO|WHOM] Give me a list of six different types of flowers I could buy someone,Give me a list of six different types of flowers I could buy someone,AO,WHOM,,/Alice should generate one clarifying question: For how many people should I fill in the list?,Question 2
[AO|WHERE] Give me the steps to purchase a new pair of shoes.,Give me the steps to purchase a new pair of shoes.,AO,WHERE,WHAT ARE THE FLORAL COLORS?,WHAT'S THE PRICE OF NEW SHOOSES?,Question 2
[AO|WHAT] Tell me three key things to do to drive a car faster on a track,Tell me three key things to do to drive a car faster on a track,AO,WHAT,,"VALID CLARIFY QUESTIONS: Is it the front-wheel drive or the all-wheel drive? Is it a 3- or 5-speed transmission? If I have ABS (ASPECT JETABLE), do you press the brake or not?",Question 2
[AO|WHAT] How can I be more productive?,How can I be more productive?,AO,WHAT,I'm not a human.,"I'm confused. You want to find the most clear question for this input, or just an output that is a clarifying question?",Question 2
[AO|WHOM] Pick the best starting five from all players in NBA history,Pick the best starting five from all players in NBA history,AO,WHOM,What position should I pick?,PLEASE_,Question 2
[AO|WHEN] What to do in Seattle in 48 hours?,What to do in Seattle in 48 hours?,AO,WHEN,WHAT does it mean when it moves with someone in Seattle in 48 hours?,"What specific actions or details are being sought when asking about ""in Seattle in 48 hours""?",Question 2
"[AO|WHERE] Plan a 10-15 day trip from bay area to Arizona, Las Vegas, San Diego, Los Angeles","Plan a 10-15 day trip from bay area to Arizona, Las Vegas, San Diego, Los Angeles",AO,WHERE,['WHEN'] Is a trip that will be in a few week of 10 days,WHEN IS THE BEST BRIDGE TO WALK UP AND DOWN?,Question 2
